physical_vial_index,assay_tube_index,bbox_x,bbox_y,bbox_w,bbox_h,center_x_px,center_y_px,area_px,frame_index,time_s,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,threshold_used
1,1,146,307,2,6,146.45454545454547,309.27272727272725,11,0,0.0,16.454545454545467,,479.72727272727275,,479.72727272727275,,0.08186341022161923,0.8062643239113828,8.64
2,2,379,772,5,3,380.90909090909093,772.8181818181819,11,0,0.0,19.909090909090935,,11.18181818181813,,11.18181818181813,,0.10423607805806773,0.01901669758812607,8.64
3,3,653,203,14,19,659.0479041916168,211.33532934131736,167,0,0.0,84.0479041916168,,564.6646706586827,,564.6646706586827,,0.44004138320218217,0.9603140657460589,20.0
3,3,676,397,12,20,681.2977528089888,406.4438202247191,178,0,0.0,106.29775280898878,,369.5561797752809,,369.5561797752809,,0.5565327372198365,0.6284969043797294,20.0
3,3,663,561,20,46,672.3709327548806,582.590021691974,461,0,0.0,97.37093275488064,,193.40997830802598,,193.40997830802598,,0.5097954594496369,0.3289285345374592,20.0
3,3,618,640,16,23,624.876,650.828,250,0,0.0,49.875999999999976,,125.17200000000003,,125.17200000000003,,0.2611308900523559,0.2128775510204082,20.0
1,1,146,307,2,6,146.45454545454547,309.27272727272725,11,1,0.2,16.454545454545467,,479.72727272727275,,479.72727272727275,,0.08186341022161923,0.8062643239113828,8.64
2,2,380,771,4,4,381.3636363636364,772.5454545454545,11,1,0.2,20.363636363636374,,11.454545454545496,,11.454545454545496,,0.10661589719181348,0.01948051948051955,8.64
3,3,670,188,12,12,675.3035714285714,192.86607142857142,112,1,0.2,100.30357142857144,,583.1339285714286,,583.1339285714286,,0.5251495886312642,0.9917243683187561,19.0
3,3,679,408,11,20,683.741935483871,417.51075268817203,186,1,0.2,108.74193548387098,,358.48924731182797,,358.48924731182797,,0.569329505151157,0.6096755906663741,19.0
