unique_event_id,assay_tube_index,physical_vial_index,display_id,internal_track_id,crossing_frame_index,crossing_time_s,crossing_x_px,crossing_y_px,threshold_distance_px,threshold_distance_mm,deduplicated
1,3,3,5,7,17,3.4,603.8260869565217,361.2463768115942,410.0,,False
2,3,3,1,3,22,4.4,609.5627906976745,349.153488372093,410.0,,False
3,3,3,2,4,25,5.0,748.0430107526881,358.13978494623655,410.0,,False
4,3,3,7,10,34,6.8,707.448275862069,362.3879310344828,410.0,,False
