internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed
1,1,1,1,"fly (1,1)",0,44,0.0,8.8,8.8,37,37,False,False,,,,434.0,585.0,567.327619533783,253.68181818181827,-6.62991382610945,87.7272727272727,-4.248911514128889,484.47218618309734,35.7958072411933,244.45070680253502,32.665997321336164
9,2,1,1,"fly (1,2)",8,19,1.6,3.8,2.1999999999999997,7,7,False,False,,,,434.0,551.2307692307693,535.8027110144758,26.871794871794926,-34.68401206636503,-10.00582750582756,-28.494379803203344,149.9697092158188,44.468826832037415,77.2767324297589,38.16097307506293
13,3,1,1,"fly (1,3)",13,17,2.6,3.4,0.7999999999999998,3,3,False,False,,,,434.0,550.5,517.1666666666666,147.72727272727272,103.21969696969698,103.21969696969698,81.96548821548822,147.73356629950501,103.22290631684129,103.22290631684129,81.96832011482933
14,4,1,1,"fly (1,4)",22,22,4.4,4.4,0.0,1,1,False,False,,,,434.0,1.7692307692307168,1.7692307692307168,,,0.0,0.0,,,0.0,0.0
15,5,1,1,"fly (1,5)",36,36,7.2,7.2,0.0,1,1,False,False,,,,434.0,536.7272727272727,536.7272727272727,,,0.0,0.0,,,0.0,0.0
18,6,1,1,"fly (1,6)",45,49,9.0,9.8,0.8000000000000007,3,3,False,False,,,,434.0,544.8,524.0787878787879,103.60606060606061,51.803030303030305,51.803030303030305,46.04713804713805,103.60610741443818,51.80305370721909,51.80305370721909,46.04715885086142
19,7,1,1,"fly (1,7)",45,49,9.0,9.8,0.8000000000000007,5,5,False,False,,,,434.0,580.2727272727273,575.7105118411,2.5420168067227995,-9.973262032085596,-4.431818181818146,-9.01117901706142,19.66621987270646,11.307121694438173,14.226482643839192,9.911973137602256
20,8,1,1,"fly (1,8)",49,49,9.8,9.8,0.0,1,1,False,False,,,,434.0,408.72727272727275,408.72727272727275,,,0.0,0.0,,,0.0,0.0
21,9,1,1,"fly (1,9)",49,49,9.8,9.8,0.0,1,1,False,False,,,,434.0,429.6363636363636,429.6363636363636,,,0.0,0.0,,,0.0,0.0
2,1,2,2,"fly (2,1)",0,1,0.0,0.2,0.2,2,2,False,False,,,,423.0,11.454545454545496,11.318181818181813,1.3636363636368287,1.3636363636368287,0.6818181818184144,0.6818181818184144,2.650432679475309,2.650432679475309,1.3252163397376544,1.3252163397376544
11,2,2,2,"fly (2,2)",12,13,2.4,2.6,0.20000000000000018,2,2,False,False,,,,423.0,1.9333333333332803,1.4249999999999545,5.083333333333253,5.083333333333253,2.5416666666666266,2.5416666666666266,5.197488709837512,5.197488709837512,2.598744354918756,2.598744354918756
16,3,2,2,"fly (2,3)",36,38,7.2,7.6,0.39999999999999947,3,3,False,False,,,,423.0,10.899999999999977,7.741666666666674,45.37500000000039,-0.49999999999972644,-0.33333333333315096,-8.006944444444267,46.78595709451701,46.155273473572706,46.155273473572706,33.439478112182115
3,1,3,3,"fly (3,1)",0,49,0.0,9.8,9.8,50,50,True,True,2.0,22.0,4.4,410.0,554.7543859649122,405.6129271168822,141.28614977337423,43.80142101284958,129.11132182187185,43.072915128021826,141.88074303726643,46.007248747905244,129.39079354332338,45.24678880140309
4,2,3,3,"fly (3,2)",0,35,0.0,7.0,7.0,36,36,True,True,3.0,25.0,5.0,410.0,586.3076923076924,336.80949741105564,110.11842105263118,56.128244857095204,94.41536484750122,54.42455109812431,110.15953959129261,69.39924119453728,94.42936019219911,68.0326791993493
5,3,3,3,"fly (3,3)",0,49,0.0,9.8,9.8,50,50,False,False,,,,410.0,369.5561797752809,297.42811637403463,2.5162793667007555,-10.555228290463802,0.4421610292833635,-10.53279180896356,102.02006832619533,13.058145285390877,94.96577670195784,12.979199742364916
6,4,3,3,"fly (3,4)",0,1,0.0,0.2,0.2,2,2,False,False,,,,410.0,583.1339285714286,573.8992996150556,92.34628956372944,92.34628956372944,46.17314478186472,46.17314478186472,123.02034437097483,123.02034437097483,61.51017218548741,61.51017218548741
7,5,3,3,"fly (3,5)",1,42,0.2,8.4,8.200000000000001,36,36,True,True,1.0,17.0,3.4,410.0,586.8421052631579,436.7425228090932,116.35601118359732,52.43162986170505,112.86012296881863,51.3604832348053,116.47491702021777,57.94169189853602,112.9160635512565,56.71676469641374
8,6,3,3,"fly (3,6)",2,8,0.4,1.6,1.2000000000000002,7,7,False,False,,,,410.0,584.3466666666667,550.2427667186481,80.10760073260089,47.53607990012492,66.84761904761918,40.90482200110387,80.10892239201135,47.92700621503178,66.9214609891156,41.27517533472542
10,7,3,3,"fly (3,7)",11,49,2.2,9.8,7.6000000000000005,39,39,True,True,4.0,34.0,6.8,410.0,586.7916666666666,341.90385134483756,126.1620196324144,76.3377192982456,112.63818438003223,74.77931344156981,127.3025558620408,81.9308173791965,115.51696170581285,80.21470298034527
12,8,3,3,"fly (3,8)",12,49,2.4,9.8,7.4,38,38,False,False,,,,410.0,20.764705882352928,16.489842095460222,56.15506129154591,1.1552915752060873,28.077530645772956,1.3748685242951963,72.53988419813686,7.436265889518034,61.3872533790271,7.5303076770748945
