assay_tube_index,time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s
1,0.0,479.72727272727275,479.72727272727275,0.0,0.0,0.0,0.0
1,0.2,479.72727272727275,479.72727272727275,84.56060606060609,84.56060606060609,84.56069293540192,84.56069293540192
1,0.6,581.2,581.2,87.7272727272727,87.7272727272727,87.72736789310672,87.72736789310672
1,1.0,585.0,585.0,86.26060606060605,86.26060606060605,89.19795039553571,89.19795039553571
1,1.4,583.24,583.24,0.8555555555555358,0.8555555555555358,5.4819942516337505,5.4819942516337505
1,1.6,566.9820512820513,582.7333333333333,-8.655555555555548,-2.3111111111110927,8.657659646964474,15.000000000000004
1,1.8,563.9820512820513,582.7333333333333,-9.237393162393156,-7.641452991452976,9.23754000764425,10.833333333333336
1,2.2,559.4038461538462,574.5769230769231,-8.263907687294818,-6.521987868762075,9.367729538858992,11.660921234315929
1,2.4,559.7346041055719,574.741935483871,-28.675116550116563,-7.354506604506617,29.778941239762517,51.65082430625552
1,2.6,524.9010101010101,574.2424242424242,11.033670033670028,73.86363636363636,44.91719587253821,73.86678314975251
1,2.8,544.7575757575758,574.2424242424242,34.407333705720795,68.81313131313132,35.24092364504333,68.81527087789419
1,3.0,574.7428571428571,574.7428571428571,1.6666666666666652,1.6666666666666652,1.6666691653704626,1.6666691653704626
1,3.2,575.2424242424242,575.2424242424242,2.661435786435883,2.661435786435883,3.14730248576543,3.14730248576543
1,3.4,554.1900183150184,575.8392857142858,17.36059023203241,103.21969696969698,63.075268255969036,103.22290631684129
1,3.6,579.6774193548388,579.6774193548388,7.391658520690872,7.391658520690872,7.893552938261464,7.893552938261464
1,3.8,546.9563567362429,579.6774193548388,-4.2464851325146,5.5654761904761045,24.08744804258142,40.93024403672895
1,4.0,579.1785714285714,579.1785714285714,-0.6845878136202064,-0.6845878136202064,1.111459153560699,1.111459153560699
1,4.2,579.2666666666667,579.2666666666667,-2.170698924731291,-2.170698924731291,2.5991919136463797,2.5991919136463797
1,4.4,290.07211538461536,578.375,0.023604269293953244,0.04720853858790649,1.5773500247142198,3.1547000494284396
1,4.6,579.2068965517242,579.2068965517242,-2.6944444444444486,-2.6944444444444486,5.498215491832128,5.498215491832128
1,4.8,577.65,577.65,-7.746212121212074,-7.746212121212074,10.561147920633482,10.561147920633482
1,5.0,573.7272727272727,573.7272727272727,-8.811494252873512,-8.811494252873512,9.892159492511237,9.892159492511237
1,5.2,573.9200000000001,573.9200000000001,-5.576086956521631,-5.576086956521631,7.911389448206671,7.911389448206671
1,5.4,574.304347826087,574.304347826087,0.7962399918922065,0.7962399918922065,1.5263520922883884,1.5263520922883884
1,6.4,573.8076923076924,573.8076923076924,5.351096246748301,5.351096246748301,5.7336728315572385,5.7336728315572385
1,6.6,576.7333333333333,576.7333333333333,5.09323258598607,5.09323258598607,5.946979812964712,5.946979812964712
1,6.8,576.9629629629629,576.9629629629629,4.038461538461527,4.038461538461527,7.226423468562079,7.226423468562079
1,7.0,576.2307692307693,576.2307692307693,-17.688888888888894,-17.688888888888894,19.15241433233255,19.15241433233255
1,7.2,551.4236363636364,566.12,-9.035802469135767,0.0,9.148317614916326,18.296635229832653
1,7.4,566.12,566.12,-11.666666666666634,-11.666666666666634,22.03709461481262,22.03709461481262
1,7.6,569.2307692307693,569.2307692307693,8.525490196078461,8.525490196078461,8.526439732141005,8.526439732141005
1,7.8,571.2352941176471,571.2352941176471,8.525490196078461,8.525490196078461,8.526439732141005,8.526439732141005
1,8.0,571.2352941176471,571.2352941176471,-49.162393162393414,-49.162393162393414,55.844177239269904,55.844177239269904
1,8.2,539.7333333333333,539.7333333333333,6.774509803920968,6.774509803920968,111.781462693488,111.781462693488
1,8.4,575.3,575.3,8.218954248365433,8.218954248365433,113.25787183414558,113.25787183414558
1,8.6,576.1666666666666,576.1666666666666,-100.76767676767628,-100.76767676767628,222.2453321811697,222.2453321811697
1,8.8,479.27272727272725,479.27272727272725,-240.06818181818045,-240.06818181818045,244.45070680253502,244.45070680253502
1,9.0,531.4545454545455,580.2727272727273,23.68560606060608,51.803030303030305,28.119299962379593,51.80305370721909
1,9.2,578.5,578.5,-7.621212121211997,-7.621212121211997,7.6710760196037056,7.6710760196037056
1,9.4,575.7,575.7,-14.145021645021728,-14.145021645021728,14.226482643839192,14.226482643839192
1,9.6,558.2928571428571,571.7857142857142,12.096108140225752,34.535353535353536,23.327250292851783,34.53536913814606
1,9.8,488.8644385026738,572.2941176470588,10.822081105169277,51.803030303030305,15.727670766672471,51.80305370721909
2,0.0,11.18181818181813,11.18181818181813,0.6818181818184144,0.6818181818184144,1.3252163397376544,1.3252163397376544
2,0.2,11.454545454545496,11.454545454545496,0.6818181818184144,0.6818181818184144,1.3252163397376544,1.3252163397376544
2,2.4,0.9166666666666288,0.9166666666666288,2.5416666666666266,2.5416666666666266,2.598744354918756,2.598744354918756
2,2.6,1.9333333333332803,1.9333333333332803,2.5416666666666266,2.5416666666666266,2.598744354918756,2.598744354918756
2,7.2,10.899999999999977,10.899999999999977,-23.187499999999922,-23.187499999999922,23.392978547258505,23.392978547258505
2,7.4,1.625,1.625,-0.33333333333315096,-0.33333333333315096,30.770182315715136,30.770182315715136
2,7.6,10.700000000000045,10.700000000000045,-0.49999999999972644,-0.49999999999972644,46.155273473572706,46.155273473572706
3,0.0,313.2007071854974,564.6646706586827,0.7500517216599079,46.17314478186472,37.92530869002245,61.51017218548741
3,0.2,294.6391923379391,583.1339285714286,12.516209198630786,47.13456201737472,38.08441154635349,61.51017218548741
3,0.4,287.0104814772345,527.3033707865168,3.663938305483782,51.5213869331518,31.075882049001088,57.54915519989326
3,0.6,289.07245797977987,527.8315789473684,20.10049407813706,72.31329579155688,34.63937787058736,83.5240369722743
3,0.8,295.53337722783897,535.0106382978723,25.972957419510237,54.90756884835482,39.41456570588758,69.61141982682112
3,1.0,302.59425592894064,544.2380952380952,34.39296763655301,73.64168445357298,45.10197552390662,75.26097326737263
3,1.2,309.7082385617117,560.2596153846154,40.126921219492615,76.3996825396826,47.83581142912745,78.2663365546133
3,1.4,319.6095299595346,572.7094017094017,39.6394139548005,66.84761904761918,44.95386736263764,66.9214609891156
3,1.6,326.37790430182093,584.3466666666667,42.87783046352392,62.04680735930736,46.56916458926098,71.13600279102003
3,1.8,270.1961229728595,347.5823529411765,36.45847926594723,55.99940064405368,39.11871951266579,60.019993695187814
3,2.0,278.2096495816361,347.2967032967033,37.91914950401808,58.80596023977544,45.03755131250993,59.98759867009827
3,2.2,229.03476273041625,341.70854271356785,36.17853718433385,73.14010025062659,44.368211819247165,73.6849205660797
3,2.4,198.94744080030156,341.1048951048951,37.78676739483796,77.66509009009003,46.16917408438812,80.2464758593569
3,2.6,209.32153921776853,350.6824324324324,44.733748402544144,98.28164160401006,54.75887828699513,98.78316358754269
3,2.8,218.71068139817416,361.56774193548387,50.84540436657503,112.63818438003223,73.4783432741278,113.02256475282081
3,3.0,229.4546834202466,379.21768707482994,46.22149929454168,99.85770308123257,78.09498112994328,100.68668124193721
3,3.2,237.05443879449356,396.97333333333336,45.68717798931146,100.20371875635038,83.09444451810086,101.19216902473187
3,3.4,246.12298819176104,414.7536231884058,49.34967891455511,98.89598292914248,73.88017769504044,99.10456872466621
3,3.6,259.0644907689797,436.62068965517244,58.317096862096044,118.99203431372558,75.4782037055679,119.42406767339645
3,3.8,272.04469691175115,459.8918918918919,66.03576117899601,122.89900491893792,73.28014505759084,123.33577839515216
3,4.0,285.7444448991587,482.469696969697,61.95729778315146,114.97557647178856,67.95896314209561,115.51468759563204
3,4.2,296.23886943887055,499.7348484848485,59.54329042636349,108.42722176079728,63.28620230047628,109.29566834138268
3,4.4,307.77067116756933,515.7913669064749,56.76505232190291,113.68366274179998,60.053409178867035,114.54410630999492
3,4.6,319.80347629230033,524.8518518518518,55.28529091701543,118.97463078343152,58.10235519814653,119.73210735447331
3,4.8,329.4100439890798,529.8811188811189,59.737515520545855,129.11132182187185,61.675600830719254,129.39079354332338
3,5.0,343.6131804798968,545.972027972028,59.6435179680011,111.85889792231244,61.08982987569826,112.5235725011109
3,5.2,355.58958707310103,563.4206896551724,59.18269843283489,97.01951276737175,60.13450967168296,97.9050379700437
3,5.4,364.9196630487807,579.8581560283687,49.55818958544043,94.41536484750122,50.71049171824717,94.42936019219911
3,5.6,373.34809423116104,586.1923076923076,35.61352393458443,92.42051168293422,38.95136013459109,92.43735924772803
3,5.8,335.0922145372791,545.595,27.951921951557345,87.51204819277116,34.104522018964516,87.52888662447405
3,6.0,338.70311762379754,545.4795918367347,23.28546868581609,92.02375041377006,38.81362210337682,92.0419753032251
3,6.2,344.75053275042137,547.25,25.21412226648844,81.90504070480635,42.68448105348743,91.69833333114188
3,6.4,350.2206878971721,549.1560693641618,30.349232289401094,85.3185313711629,45.59226329402582,107.04332611365761
3,6.6,356.91265699743815,555.8875,33.67068314246545,91.59703801945174,39.611824518273565,102.52587437824032
3,6.8,364.9529426359007,575.5735294117646,32.26443994526928,84.04238956564537,35.3384083446713,92.59106117858494
3,7.0,405.7898107641377,586.8421052631579,28.46054305291143,87.93554131054134,33.103442011239984,96.6799572933899
3,7.2,373.18371537818905,584.2948717948718,16.64381537757063,87.58453622026197,22.83085278280473,95.41545959341381
3,7.4,377.17438138784024,583.5604395604396,16.692718914051802,86.41992815277,23.18098549633175,92.40706060210904
3,7.6,379.7018658038579,584.0987654320987,15.704513565195978,78.18833333333338,21.162456640927058,81.76475693445173
3,7.8,382.60642351730667,584.4,13.641318276242004,69.14201550387601,18.253197777799397,71.89366376351775
3,8.0,385.35917235358545,584.4,14.818657018982275,77.24932249322502,19.263202657543708,78.96033191741837
3,8.2,388.59306001524726,584.4810126582279,15.759984202323556,74.99435897435883,19.506322425792604,76.0240531124278
3,8.4,392.0624140387008,586.7714285714286,16.282105438475774,74.58666666666664,20.22863734265281,75.69884774044746
3,8.6,340.488814274158,552.4,19.383014067498497,71.4500941619584,20.859150157132852,72.43167586071168
3,8.8,345.3635721697732,568.2033898305085,18.437184205324662,65.34497944803302,19.78663915605115,66.36904892621756
3,9.0,348.7222460765255,578.0916030534352,18.122941020108268,46.986111111111136,19.67388203433696,47.909132908561254
3,9.2,351.36257888622293,580.5916666666667,14.56653459321357,45.565241723707395,16.89049583186999,48.31874518395218
3,9.4,354.1034929257013,583.7066666666667,14.040363837111494,55.277014652014635,16.848055132408515,59.74134460502347
