internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed
1,1,1,3,"fly (1,1)",0,49,0.0,9.8,9.8,50,50,True,True,3.0,36.0,7.2,410.0,581.6879432624114,267.685450654324,105.78317876036853,50.72319216289846,91.85258964143434,49.78384191438553,105.86164535644245,63.57184355623676,91.99279316791008,62.521608229720286
2,2,1,3,"fly (1,2)",0,24,0.0,4.8,4.8,25,25,True,True,1.0,5.0,1.0,410.0,550.5049504950496,480.40422229696907,151.25801282051265,44.42768199233717,144.94879162982602,44.559773716047715,182.3691894041145,75.66450147740875,146.38770345394116,72.44121796915807
3,3,1,3,"fly (1,3)",0,2,0.0,0.4,0.4,3,3,False,False,,,,410.0,587.0,583.7508074111847,24.775624681284967,18.378378378378386,18.378378378378386,14.339480990424375,27.78392123626589,20.138735523783332,20.138735523783332,15.818839941479501
4,4,1,3,"fly (1,4)",2,7,0.4,1.4,0.9999999999999999,6,6,False,False,,,,410.0,586.0769230769231,584.6164787264605,8.779788172992086,-0.6324786324786367,5.0589225589226325,-0.6935148737080482,45.0064603721751,27.24550064809528,35.62147807472696,23.56611464029513
5,5,1,3,"fly (1,5)",11,49,2.2,9.8,7.6000000000000005,39,39,True,True,4.0,41.0,8.2,410.0,557.81875,238.8689669189498,130.31176192725513,72.79114334130779,113.97941552099779,71.0853450244139,131.16965207016753,76.78877326301544,115.08812261426426,75.08605992987911
6,6,1,3,"fly (1,6)",24,27,4.8,5.4,0.6000000000000005,3,3,False,False,,,,410.0,587.3684210526316,563.875902341501,-5.884658454647246,-88.09694516673936,-2.942329227323623,-49.92352372396308,194.69868739216398,111.3244095653764,111.3244095653764,66.5052494927517
7,7,1,3,"fly (1,7)",25,42,5.0,8.4,3.4000000000000004,18,18,True,True,2.0,27.0,5.4,410.0,550.5043478260869,494.4308993501642,117.25397132894234,50.59082983934575,112.70783567784373,48.69906239397044,119.15881062836169,52.11282990243575,114.38323994310845,50.16523626753649
8,8,1,3,"fly (1,8)",28,49,5.6,9.8,4.200000000000001,22,22,False,False,,,,410.0,586.52,567.8718220383776,33.735965931087826,11.10497121925694,26.573844108276248,10.609747282535894,37.21672463318101,13.157780262823012,28.77552746330134,12.572765325389588
9,9,1,3,"fly (1,9)",43,47,8.6,9.4,0.8000000000000007,5,5,False,False,,,,410.0,585.439024390244,568.6193237061361,87.32852934988475,30.11128048780507,55.66388750622234,24.724158762313127,92.17247418372816,55.07774195325217,64.73714982606221,47.79429252285491
