frame_index,time_s,x_px,y_px,bbox_x,bbox_y,bbox_w,bbox_h,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,detected,internal_track_id,display_id,physical_vial_index,assay_tube_index,label,dt_s,dx_px,dy_px,displacement_px,speed_px_s_raw,vertical_velocity_px_s_raw,height_px_smoothed,speed_px_s_smoothed,vertical_velocity_px_s_smoothed,height_mm_smoothed,vertical_velocity_mm_s_raw,vertical_velocity_mm_s_smoothed,displacement_mm,speed_mm_s_raw,speed_mm_s_smoothed
0,0.0,688.8811881188119,691.3993399339934,677,684,25,16,113.8811881188119,,84.60066006600664,,84.60066006600664,,0.5962365870094865,0.14387867358164394,True,1,1,3,1,"fly (1,1)",,,,,,,84.07349297230041,19.86266433428953,-2.635835468531127,,,,,,
1,0.2,681.0063897763578,692.4536741214058,670,685,24,17,106.00638977635776,,83.54632587859419,,83.54632587859419,,0.5550072763160092,0.1420855882289017,True,1,1,3,1,"fly (1,1)",0.2,-7.874798342454142,1.0543341874124508,7.945065733715812,39.72532866857906,-5.271670937062254,81.76728936649435,30.150060451026746,-12.409629851874039,,,,,,
2,0.4,673.1279461279462,698.8451178451178,662,691,24,17,98.12794612794619,,77.15488215488222,,77.15488215488222,,0.5137588802510271,0.13121578597769085,True,1,1,3,1,"fly (1,1)",0.2,-7.878443648411576,6.391443723711973,10.144970536900237,50.72485268450118,-31.957218618559864,77.35947741092154,52.88847079223413,-22.039059777864054,,,,,,
3,0.6,660.7686832740213,704.6227758007118,650,698,23,15,85.76868327402133,,71.37722419928821,,71.37722419928821,,0.44905069776974516,0.1213898370736194,True,1,1,3,1,"fly (1,1)",0.19999999999999996,-12.35926285392486,5.777657955594009,13.643046204724428,68.21523102362215,-28.88828977797005,73.0034028479838,59.457826185678925,-21.78037281468865,,,,,,
4,0.8,648.9160583941606,705.521897810219,638,699,24,15,73.91605839416059,,70.478102189781,,70.478102189781,,0.3869950701264952,0.11986071800983163,True,1,1,3,1,"fly (1,1)",0.20000000000000007,-11.852624879860741,0.8991220095072094,11.886678969782693,59.433394848913444,-4.495610047536045,69.76645657012295,48.277770127061984,-16.184731389304265,,,,,,
5,1.0,650.5306859205776,708.5559566787003,642,699,19,21,75.53068592057764,,67.44404332129966,,67.44404332129966,,0.39544861738522324,0.11470075394778853,True,1,1,3,1,"fly (1,1)",0.19999999999999996,1.6146275264170526,3.0340588684813383,3.436936901730072,17.184684508650363,-15.170294342406695,68.21832331285384,40.84588882211539,-7.740666286345573,,,,,,
6,1.2,659.6870229007634,709.2671755725191,653,698,14,24,84.6870229007634,,66.73282442748086,,66.73282442748086,,0.4433875544542586,0.11349119800591984,True,1,1,3,1,"fly (1,1)",0.19999999999999996,9.156336980185756,0.7112188938187956,9.183917421756473,45.91958710878237,-3.5560944690939786,67.09228924959352,33.874548767389705,-5.630170316301627,,,,,,
7,1.4,667.3821428571429,708.9,660,697,16,26,92.38214285714287,,67.10000000000002,,67.10000000000002,,0.48367614061331343,0.11411564625850344,True,1,1,3,1,"fly (1,1)",0.19999999999999996,7.695119956379472,-0.3671755725191588,7.703874936947274,38.51937468473638,1.8358778625957943,66.91854381500825,37.484846864974394,-0.8687271729263556,,,,,,
8,1.6,672.9824561403509,709.0771929824562,663,699,21,22,97.9824561403509,,66.92280701754385,,66.92280701754385,,0.5129971525672822,0.1138142976488841,True,1,1,3,1,"fly (1,1)",0.20000000000000018,5.600313283208038,0.17719298245617665,5.603115760280891,28.01557880140443,-0.8859649122808825,68.56190945528617,43.488824872833185,8.216828201389605,,,,,,
9,1.8,684.8576779026217,704.3370786516854,674,696,22,18,109.85767790262173,,71.66292134831463,,71.66292134831463,,0.5751710884954018,0.12187571657876638,True,1,1,3,1,"fly (1,1)",0.19999999999999996,11.875221762270826,-4.74011433077078,12.786304226471742,63.931521132358725,23.700571653853903,71.68730628068299,42.49111998149547,15.626984126984103,,,,,,
10,2.0,690.0842490842491,699.5238095238095,679,692,23,16,115.08424908424911,,76.47619047619048,,76.47619047619048,,0.6025353355196288,0.1300615484288954,True,1,1,3,1,"fly (1,1)",0.19999999999999996,5.226571181627378,-4.813269127875856,7.1052520021446535,35.52626001072328,24.066345639379286,75.46012352192126,46.65245213603249,18.86408620619136,,,,,,
