assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s,mean_height_mm,max_height_mm,mean_vertical_velocity_mm_s,max_vertical_velocity_mm_s,mean_speed_mm_s,max_speed_mm_s
1,10,10,1,1,0.1,7.6,191.253257543939,558.0526315789474,36.6735991195178,127.64241963710049,49.56388530555532,129.1837435332281,9.8,25.543006015885013,74.53123627097796,4.897976510119238,17.047401620981702,6.107038159345946,17.077589739251874
2,7,7,0,0,0.0,,234.41031244767035,584.5454545454545,16.109834893483605,64.04917184265003,22.078148661196018,67.40576148582672,9.8,32.05611110395492,79.93783993783993,2.203054344408014,8.758861106687183,2.8322326087723995,8.822223276366266
3,4,4,0,0,0.0,,59.67412045056913,110.73333333333335,-4.081180505871286,63.099999999999966,16.395623162791132,113.31532033948422,9.8,8.202628240628059,15.221076746849945,-0.5609870111163282,8.67353951890034,2.253215413125715,15.575176484730598
4,8,8,3,3,0.375,3.8,294.98062581142153,585.7222222222222,51.8816514541966,149.19617574294315,66.33687764743591,149.61740170376044,9.8,40.20178886697397,79.82585652091613,7.0707531794475775,20.333379999038254,8.762177505688165,20.370325766249042
