frame_index,time_s,x_px,y_px,bbox_x,bbox_y,bbox_w,bbox_h,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,detected,internal_track_id,display_id,physical_vial_index,assay_tube_index,label,dt_s,dx_px,dy_px,displacement_px,speed_px_s_raw,vertical_velocity_px_s_raw,height_px_smoothed,speed_px_s_smoothed,vertical_velocity_px_s_smoothed,height_mm_smoothed,vertical_velocity_mm_s_raw,vertical_velocity_mm_s_smoothed,displacement_mm,speed_mm_s_raw,speed_mm_s_smoothed
0,0.0,222.489406779661,176.15466101694915,208,168,31,20,95.48940677966101,,604.8453389830509,,604.8453389830509,,0.4847178009119848,0.9850901286368906,True,1,1,1,1,"fly (1,1)",,,,,,,604.8453389830509,0.0,0.0,,,,,,
1,0.2,222.489406779661,176.15466101694915,208,168,31,20,95.48940677966101,,604.8453389830509,,604.8453389830509,,0.4847178009119848,0.9850901286368906,True,1,1,1,1,"fly (1,1)",0.2,0.0,0.0,0.0,0.0,0.0,604.8453389830509,0.0,0.0,,,,,,
0,0.0,252.0163043478261,173.38315217391303,237,168,38,14,125.0163043478261,,607.616847826087,,607.616847826087,,0.6346005296843964,0.9896039866874381,True,2,2,1,1,"fly (1,2)",,,,,,,607.6586986383182,0.26245487222502767,0.2092540611562299,,,,,,
1,0.2,252.07967032967034,173.29945054945054,237,168,38,14,125.07967032967034,,607.7005494505495,,607.7005494505495,,0.6349221844145703,0.9897403085513835,True,2,2,1,1,"fly (1,2)",0.2,0.06336598184424247,-0.08370162446249196,0.10498194889001108,0.5249097444500553,0.4185081223124598,607.5412157588788,8.365410444081272,-0.5176630434783647,,,,,,
2,0.4,247.18125,173.69375,218,168,62,14,120.18125,,607.30625,,607.30625,,0.6100571065989848,0.9890981270358306,True,2,2,1,1,"fly (1,2)",0.2,-4.89842032967033,0.3942994505494539,4.914264317558752,24.571321587793758,-1.9714972527475538,607.3555113212747,11.950699964760288,-0.9285221880209823,,,,,,
3,0.6,245.04424778761063,173.94026548672565,216,168,57,14,118.04424778761063,,607.0597345132744,,607.0597345132744,,0.5992093796325413,0.9886966360151049,True,2,2,1,1,"fly (1,2)",0.19999999999999996,-2.137002212389376,0.24651548672565582,2.151173712407409,10.755868562037048,-1.232577433627853,607.1264491807425,11.980664220725496,-1.1453107026604432,,,,,,
4,0.8,245.15812917594656,173.98663697104678,217,168,56,14,118.15812917594656,,607.0133630289532,,607.0133630289532,,0.5997874577459216,0.9886211124250053,True,2,2,1,1,"fly (1,2)",0.20000000000000007,0.1138813883359262,0.04637148432112781,0.12296050246913694,0.6148025123456845,-0.23185742160592318,607.0400689166454,4.865380053046339,-0.43190132048531876,,,,,,
5,1.0,244.51391862955032,173.9528907922912,215,168,58,14,117.51391862955032,,607.0471092077088,,607.0471092077088,,0.596517353449494,0.9886760736281902,True,2,2,1,1,"fly (1,2)",0.19999999999999996,-0.6442105463962378,-0.03374617875556396,0.6450938169512569,3.225469084756285,0.16873089377781983,607.0417556843589,2.5801211874677237,0.008433838567043536,,,,,,
6,1.2,245.29373650107993,173.9352051835853,216,168,58,14,118.29373650107993,,607.0647948164146,,607.0647948164146,,0.6004758198024363,0.9887048775511639,True,2,2,1,1,"fly (1,2)",0.19999999999999996,0.779817871529616,-0.017685608705903633,0.78001839306024,3.900091965301201,0.08842804352923396,607.056348960422,2.8026670697553477,0.07296638031599895,,,,,,
7,1.4,245.03736263736263,173.94285714285715,216,168,57,14,118.03736263736263,,607.0571428571428,,607.0571428571428,,0.5991744296312824,0.9886924150767799,True,2,2,1,1,"fly (1,2)",0.19999999999999996,-0.2563738637173003,0.007651959271839814,0.25648803184171143,1.2824401592085575,-0.03825979635905697,607.0516108034666,2.0990040840663755,-0.023690784777841107,,,,,,
