assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s
1,10,10,0,0,0.0,,608.4641166767439,611.5121951219512,0.2886591796532974,14.849462459728201,24.573866713114512,124.1719949513495,9.8
2,4,4,0,0,0.0,,606.9378444180063,609.5399361022364,0.0267425316969112,1.4020173158684202,2.838224374525252,11.261536887155637,9.8
3,10,10,3,3,0.3,7.4,383.64939434373144,602.8228571428572,14.871319014462014,216.43663003663042,39.60064409992856,224.13467158217728,9.8
4,5,5,0,0,0.0,,603.0886498406492,606.3181818181818,0.06480292053527201,7.30366786678658,6.997525023314102,91.38873941258204,9.8
