internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed,threshold_distance_mm,max_height_mm,mean_height_mm,max_vertical_velocity_mm_s_raw,mean_vertical_velocity_mm_s_raw,max_vertical_velocity_mm_s_smoothed,mean_vertical_velocity_mm_s_smoothed,max_speed_mm_s_raw,mean_speed_mm_s_raw,max_speed_mm_s_smoothed,mean_speed_mm_s_smoothed
1,1,1,1,"fly (1,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,501.0,-4.848920863309331,-6.454076046677756,36.35539568345333,0.01924234067091753,10.43557422969191,0.055985775134554154,36.35673641855293,5.934639467003107,23.92029282009796,5.837546348649055,66.91151919866444,-0.6476021186389758,-0.8619801064010357,4.855478555386088,0.0025699286371842736,1.3937327852677013,0.0074772320713927636,4.855572269053038,0.7814075190088972,3.1936020009842205,0.7682996533674346
2,2,1,1,"fly (1,2)",0,49,0.0,9.8,9.8,47,47,True,True,2.0,19.0,3.8,501.0,537.3461538461538,407.53230635549545,623.0007763975156,11.92600038675741,546.9255653766523,11.680098444234792,623.0456392235957,84.44175885691071,547.061276721961,82.69380288490109,66.91151919866444,71.76576345190702,54.42835477201943,83.20544592955133,1.5927880316203553,73.04515063461135,1.5599463698477198,83.20858174298864,11.267141122796088,73.05463729873544,11.033867442973442
3,3,1,1,"fly (1,3)",0,36,0.0,7.2,7.2,33,33,True,True,3.0,27.0,5.4,501.0,533.9818181818182,330.1762493186958,357.19423412929495,-28.00816565091789,324.66535433070834,-27.7588402004556,697.9578884366266,126.65728877991961,593.5468210340538,124.32878861183426,66.91151919866444,71.31643648505084,44.09699490066053,47.70540689539831,-3.740656514312907,43.36098221445187,-3.7073576227653566,93.20963751731699,16.90874804265193,79.26725175719774,16.597950220647984
4,4,1,1,"fly (1,4)",0,49,0.0,9.8,9.8,46,46,False,False,,,,501.0,443.9122807017544,346.3227497726798,455.4709624188222,13.3414120247999,257.7167277167277,13.139834144296042,455.4764572813805,63.37406341182831,257.7727072771656,62.09090743257614,66.91151919866444,59.28711595348973,46.25345572923937,60.83084639984269,1.78182464438062,34.4195963561573,1.7549027237791028,60.83123047323248,8.449701678519174,34.42350976315462,8.278388542687999
5,5,1,1,"fly (1,5)",0,9,0.0,1.8,1.8,7,7,False,False,,,,501.0,433.6363636363636,327.6620023466311,438.61285266457696,58.52015377446414,321.495965008896,43.89021166085596,438.6356682115922,157.5437957454476,321.5496494687209,130.16365110269567,66.91151919866444,57.9147063287297,43.76120231674538,58.57934593182998,7.815713358859985,42.9376914869978,5.861797884588442,58.580940681075234,21.030932685789296,42.94144415012254,17.374930795831954
6,6,1,1,"fly (1,6)",0,49,0.0,9.8,9.8,45,45,False,False,,,,501.0,454.62222222222226,404.3135312502376,160.8202614379087,0.9551492321860015,79.03042328042332,1.404986062760159,160.87784256952915,22.61225538840131,120.32369337960074,22.200419896079065,66.91151919866444,60.717492116490455,53.99846828049919,21.478499023426885,0.12756584069262256,10.554981406400449,0.18764421539367931,21.48252409291024,2.9141148143812896,15.962281113663613,2.8616708191742872
7,7,1,1,"fly (1,7)",0,49,0.0,9.8,9.8,46,46,True,True,1.0,7.0,1.4,501.0,534.3880597014925,469.4279970865292,214.63461538461564,8.81606480792654,175.19763205828795,8.381569224654703,214.65060151317016,59.64587810987717,175.3327691897558,58.56239744404285,66.91151919866444,71.37069244761167,62.694891096698406,28.665724926158987,1.1774377038967017,23.398682077901572,1.119408243693451,28.666842322244253,7.951221982118018,23.408129515531908,7.807015838950711
8,8,1,1,"fly (1,8)",0,49,0.0,9.8,9.8,41,41,False,False,,,,501.0,542.75,82.45339077766326,258.8111888111886,-29.03530587318813,124.64768724711094,-28.31533343399206,536.4784654671057,70.27741344750594,394.26318985481663,68.70263303013748,66.91151919866444,72.48747913188647,11.012139002025144,34.56576812169463,-3.8778371783890657,16.6474373618846,-3.7816805921859125,71.63603318638364,9.061850878917054,52.58399078848857,8.859893734940757
9,9,1,1,"fly (1,9)",0,49,0.0,9.8,9.8,47,47,False,False,,,,501.0,476.6086956521739,436.4108708909578,119.78070175438565,-4.3216618793659505,36.11376927166396,-4.902815305762876,226.27154467444444,18.75370115724832,113.13577233722222,19.184481624350667,66.91151919866444,63.65391594686797,58.28525821582074,15.997422604926278,-0.5771835565096431,4.823207916081998,-0.6548000408364446,29.039943577989245,2.3462883281782565,14.519971788994622,2.4027267925541334
10,10,1,1,"fly (1,10)",0,49,0.0,9.8,9.8,47,47,False,False,,,,501.0,549.7407407407408,371.98234834751923,358.26470588235276,-10.79756260840042,269.75490196078414,-9.214429801463119,358.36206705965174,107.80108365050201,270.216077576151,106.78614473077343,66.91151919866444,73.42113398874669,49.68044719165531,47.848374742217416,-1.442078478584363,36.02736587122325,-1.2306417097112656,47.855180399503006,14.32704645593288,36.05965530719331,14.192905886744365
11,1,2,2,"fly (2,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,498.0,561.921568627451,541.4230563011665,9.977528089887633,-2.508116883116876,3.6508379888268387,-2.4660112904406297,26.56301671404188,4.6938788571067525,20.658263293915933,4.604566396483967,68.1025641025641,76.84397519691639,74.04075983605695,1.3644482857966256,-0.34299034299034237,0.49925989590794445,-0.3372323132226508,3.597104625249565,0.596457113329579,2.81152057963348,0.5852030680701664
12,1,3,3,"fly (3,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,497.0,62.67405764966736,57.49185088470728,60.277645196565516,0.12242931638325481,20.3002594480415,0.06805822815089572,60.28120523475804,19.29040113939302,55.99568068176893,18.955796075331296,68.31615120274914,8.614990742222318,7.9026599154236825,8.285586968600073,0.016828772011444004,2.790413669833882,0.00935508290733995,8.285870947644785,2.651360194679235,7.696816033583925,2.6053710051415844
16,2,3,3,"fly (3,2)",7,7,1.4,1.4,0.0,1,1,False,False,,,,497.0,111.5,111.5,,,0.0,0.0,,,0.0,0.0,68.31615120274914,15.326460481099657,15.326460481099657,,,0.0,0.0,,,0.0,0.0
17,3,3,3,"fly (3,3)",29,29,5.8,5.8,0.0,1,1,False,False,,,,497.0,110.0,110.0,,,0.0,0.0,,,0.0,0.0,68.31615120274914,15.120274914089347,15.120274914089347,,,0.0,0.0,,,0.0,0.0
13,1,4,4,"fly (4,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,500.0,374.0974025974026,275.1309472509445,4.117169030732817,-14.798753300432457,0.5661277770436272,-14.567111836160905,73.75859035179148,16.07034406153508,69.63202043138561,15.840113179610343,68.14310051107326,50.98431381225249,37.4965515844558,0.5611133261645987,-2.0168658671798925,0.0771554040263908,-1.9852963320151154,10.010918636297097,2.1497947942484648,9.43432232825379,2.1181997577228335
14,2,4,4,"fly (4,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,500.0,534.74,532.8620988772975,1.657732777446766,-0.3065192743764208,0.2971847409628472,-0.31014817736680134,2.382365625989857,0.8514904039039269,1.8384053927528095,0.8441131852486566,68.14310051107326,72.87768313458263,72.62175112467426,0.22592610254804393,-0.04177434744482694,0.04050217934756486,-0.04226891684726368,0.31535747135872577,0.11080618202600526,0.24668803180443807,0.10991030250423561
15,3,4,4,"fly (4,3)",0,49,0.0,9.8,9.8,50,50,False,False,,,,500.0,569.1777777777778,567.3714404203442,0.8960653778859783,-0.4124360757044329,0.23136123136130962,-0.40415042410569596,7.530879271793913,1.4172556267976566,6.44125467475788,1.3958536651879507,68.14310051107326,77.57107703956086,77.32489818335186,0.122121346219473,-0.056209345922239876,0.03153134328603831,-0.0550801259428546,0.8247507192919782,0.16621371281827851,0.7382724465136862,0.1636792564445828
