assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s,mean_height_mm,max_height_mm,mean_vertical_velocity_mm_s,max_vertical_velocity_mm_s,mean_speed_mm_s,max_speed_mm_s
1,10,10,3,3,0.3,1.4,315.6833213403293,549.7407407407408,-2.025126142764388,546.9255653766523,59.85080671762031,593.5468210340538,9.8,42.16137847617086,73.42113398874669,-0.27046759836586043,73.04515063461135,7.917647415203312,79.26725175719774
2,1,1,0,0,0.0,,541.4230563011665,561.921568627451,-2.4660112904406297,3.6508379888268387,4.604566396483967,20.658263293915933,9.8,74.04075983605695,76.84397519691639,-0.3372323132226508,0.49925989590794445,0.5852030680701664,2.81152057963348
3,3,3,0,0,0.0,,59.54024123529546,111.5,0.06544060399124599,20.3002594480415,18.226726995510862,55.99568068176893,9.8,8.18422559935333,15.326460481099657,0.008995272026288439,2.790413669833882,2.5051644280207546,7.696816033583925
4,3,3,0,0,0.0,,458.45482884952867,569.1777777777778,-5.093803479211134,0.5661277770436272,6.026693343348984,69.63202043138561,9.8,62.48106696416065,77.57107703956086,-0.694215124935078,0.0771554040263908,0.7972631055572174,9.43432232825379
