frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,15,15,10,10,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
1,1,0.2,13,12,8,7,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
2,2,0.4,22,15,17,10,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
3,3,0.6,6,6,1,1,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
4,4,0.8,19,15,14,10,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
5,5,1.0,20,14,15,9,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
6,6,1.2,17,13,12,8,1,1,1,1,3,3,0,501.0,498.0,497.0,500.0
7,7,1.4,20,14,14,8,1,1,2,2,3,3,1,501.0,498.0,497.0,500.0
8,8,1.6,19,15,14,10,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
9,9,1.8,17,15,12,10,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
10,10,2.0,18,13,13,8,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
11,11,2.2,6,6,1,1,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
12,12,2.4,19,14,14,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
13,13,2.6,19,14,14,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
14,14,2.8,20,14,15,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
15,15,3.0,21,14,16,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
16,16,3.2,21,14,16,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
17,17,3.4,21,14,16,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
18,18,3.6,19,14,14,9,1,1,1,1,3,3,1,501.0,498.0,497.0,500.0
19,19,3.8,18,14,13,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
20,20,4.0,16,14,11,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
21,21,4.2,20,14,15,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
22,22,4.4,18,13,13,8,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
23,23,4.6,21,14,16,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
24,24,4.8,19,13,14,8,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
25,25,5.0,18,14,13,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
26,26,5.2,24,14,19,9,1,1,1,1,3,3,2,501.0,498.0,497.0,500.0
27,27,5.4,21,14,16,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
28,28,5.6,20,14,15,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
29,29,5.8,20,15,14,9,1,1,2,2,3,3,3,501.0,498.0,497.0,500.0
30,30,6.0,22,14,17,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
31,31,6.2,19,14,14,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
32,32,6.4,21,14,16,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
33,33,6.6,6,6,1,1,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
34,34,6.8,21,14,16,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
35,35,7.0,22,14,17,9,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
36,36,7.2,16,13,11,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
37,37,7.4,17,13,12,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
38,38,7.6,15,13,10,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
39,39,7.8,18,13,13,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
40,40,8.0,16,12,11,7,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
41,41,8.2,19,13,14,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
42,42,8.4,20,13,15,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
43,43,8.6,18,13,13,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
44,44,8.8,21,13,16,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
45,45,9.0,21,13,16,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
46,46,9.2,18,13,13,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
47,47,9.4,21,13,16,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
48,48,9.6,22,13,17,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
49,49,9.8,21,13,16,8,1,1,1,1,3,3,3,501.0,498.0,497.0,500.0
