unique_event_id,assay_tube_index,physical_vial_index,display_id,internal_track_id,crossing_frame_index,crossing_time_s,crossing_x_px,crossing_y_px,threshold_distance_px,threshold_distance_mm,deduplicated
1,4,4,9,16,6,1.2,875.2582159624413,226.84037558685446,500.0,68.14310051107326,False
2,4,4,10,17,9,1.8,970.7901234567901,239.93827160493828,500.0,68.14310051107326,False
3,4,4,5,11,15,3.0,876.0827067669173,238.0751879699248,500.0,68.14310051107326,False
4,4,4,6,12,25,5.0,969.4277108433735,250.6987951807229,500.0,68.14310051107326,False
5,4,4,1,7,31,6.2,972.0689655172414,254.9655172413793,500.0,68.14310051107326,False
6,4,4,3,9,42,8.4,925.4583333333334,244.93229166666669,500.0,68.14310051107326,False
