assay_tube_index,time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,mean_height_mm,max_height_mm,mean_vertical_velocity_mm_s,max_vertical_velocity_mm_s,mean_speed_mm_s,max_speed_mm_s
1,0.0,338.2983864251212,591.9695652173913,-3.33921729531788,0.6736176194937116,4.930304918688151,34.80947339290649,45.181754447428546,79.06104376859984,-0.44597225980873956,0.08996562530800833,0.5849702525291155,4.138051592282289
1,0.2,336.96269950699406,592.061403508772,-4.638191331895682,1.794653981198356,6.518272198365008,45.322124143035296,45.00336554350505,79.07330931669742,-0.6194579408207943,0.23968667528526075,0.8027148201811699,5.6036984369949465
1,0.4,335.51547162598376,591.9098712446352,-3.7930564863553675,11.571715268676241,9.277058553126315,51.71070709259707,44.81007968293606,79.05307128475928,-0.5065851734698422,1.5454711544141853,1.1543348953660193,6.43134450887819
1,0.6,336.022552533308,591.6582278481012,-0.11298742256223958,17.183458811590526,9.595490211578946,38.24588790356478,44.87780334334664,79.01946281777644,-0.015090139908141797,2.2949527628167607,1.2048729900685315,4.698985372194765
1,0.8,336.8949070534567,591.9868421052631,4.9508520741473445,33.351066824297675,12.304001524670545,37.676102108574625,44.994311459560166,79.06335119936737,0.6612156359462209,4.454232630957951,1.471848488336481,4.547471735837772
1,1.0,338.4859828704722,592.0226244343892,7.078563669710682,56.525654641221195,13.547326172940432,58.84519988502748,45.2068090645038,79.06813014148771,0.9453841295106182,7.549336179128048,1.624479341018891,7.713578990136969
1,1.2,340.2696907351344,591.9506726457399,6.3082847646026385,46.78703334661881,11.251047294090151,49.12682370269431,45.44503382105301,79.05852055368814,0.8425088166414173,6.248685588863943,1.342195770567171,6.41434996400897
1,1.4,340.6798779122183,591.9070796460177,4.678001470241746,26.919720767888297,6.952436738252344,28.769002875215865,45.49981674954501,79.0526984502194,0.6247748207334547,3.595288249467561,0.8706097789603984,3.7270688987894687
1,1.6,341.29278375261725,591.8973214285714,2.4206576546245624,10.160168576648418,4.216287120337163,12.219578802542294,45.581673956943874,79.05139518244694,0.3232931759097823,1.3569507280999575,0.5218043594719669,1.5723902827725602
1,1.8,341.7220853279091,591.9771689497717,1.304980669937852,8.658420264657517,3.682879064208956,9.705946616510067,45.63900972659888,79.0620592921231,0.17428790249587311,1.156383340855762,0.4508721143692253,1.237779077499271
1,2.0,341.462866314181,591.9955947136564,0.42243611978611534,5.625691562932315,3.1927645659398514,6.834475157869153,45.60438949104254,79.064520162091,0.05641884738379123,0.7513444491395411,0.37144253129740346,0.841184782960022
1,2.2,341.5462454244889,592.0711111111111,-0.20897389565973862,4.112970711297147,3.618985649865043,8.602116162380122,45.615525265374146,79.07460582452237,-0.02790970225839537,0.549311614196614,0.42065434530621565,0.8978949843364195
1,2.4,341.5967009905133,591.9519650655022,0.3772381725919161,4.91583033110317,3.799201070854452,8.128567884411735,45.62226390524384,79.05869316400697,0.05038239366837133,0.6565382746047638,0.43964780422713445,0.9519448746953237
1,2.6,341.68920921773616,591.921052631579,-1.343312225846238,15.775368893081499,7.49421512234266,20.966257797521955,45.63461892724356,79.05456462525262,-0.17940730896110588,2.106894009092687,0.9301001685400978,2.6724701797472057
1,2.8,382.7937754911773,591.9380530973451,-3.4440775618555106,0.5944275435801188,5.6503597792908,20.649217955249846,51.12437736109212,79.05683513820969,-0.45997696986383374,0.07938932134625847,0.6862097479408552,2.636395046822154
1,3.0,382.72978316633044,591.795652173913,-2.876416682095999,1.2761856879503328,5.8107583328797645,22.721037786760306,51.11583080685549,79.03781665093997,-0.3841624951046433,0.17044216199674103,0.722275739490465,2.9115276462995485
1,3.2,383.10659378755815,591.974358974359,-2.085102605727964,2.1609001406469948,4.947075529539434,21.50069062736615,51.16615609850526,79.06168400325329,-0.27847781044780523,0.2886010204536875,0.6228051745023696,2.8474299796490476
1,3.4,342.15023013700994,592.0386266094421,1.8709004682366872,19.427886776086464,10.767689905723444,42.92067950986537,45.69619100327345,79.07026732680362,0.24986984550740185,2.5947094191768243,1.275288875545106,4.648765029819235
1,3.6,343.4157514675171,592.1409691629956,5.20690437156598,27.925412253682033,17.499153490830444,62.90334149838421,45.865208877130826,79.08393578136835,0.6954129377717521,3.7296043076703898,2.03147404513185,7.594941551448613
1,3.8,384.2834357348878,592.0087336244542,7.276954574495212,35.17371995820272,12.212586181889872,48.00805292668368,51.323330315176996,79.06627494149639,0.9718804106170548,4.697658759025405,1.453626412707869,5.686861163267085
1,4.0,385.9088866724377,592.188596491228,1.7167659160774889,37.199989349521985,23.93477898648225,63.34539753686628,51.54041892119368,79.09029669331927,0.2292842625813026,4.968279045011287,2.908167278093857,8.10036117003167
1,4.2,383.3774984562461,592.1964285714286,-5.305274969073643,38.561319570021965,24.819296560847558,88.93029771668469,51.202337022537044,79.09134271404722,-0.7085509140665934,5.150092763942827,3.072908973762856,11.397267886631404
1,4.4,358.59324592642935,592.0565217391304,4.225043729833685,25.948167588340024,8.871269625684935,27.937735964412095,47.89225321221094,79.07265732742977,0.5642796300278677,3.465531564385976,1.0710679212563192,3.6105244316484852
1,4.6,358.9123012240389,591.9955752212389,2.844358257224907,16.340079139994064,5.821288214007403,16.408072031195555,47.934864938102024,79.06451755876313,0.37988090246742795,2.1823144093481157,0.7386729183948229,2.187076519339523
1,4.8,360.26442686788783,592.1614349775784,6.113018409148248,35.14532934038336,7.057850970302924,35.44865755796454,48.1154493312705,79.08666911219744,0.8164298376157887,4.693867023757372,0.9218980488023741,4.715127015611543
1,5.0,362.26105697191826,592.7192118226601,11.19640450761645,51.372966630871275,12.615067053571677,52.519691423062454,48.38211111478041,79.16116351554726,1.4953461779788253,6.861164157712363,1.6458476442084933,6.9420438717059705
1,5.2,328.6048615144558,592.5399061032864,12.207509130901926,58.236458663287884,14.494238852246923,59.871748680835424,43.88712674650495,79.13721617406162,1.6303851927748885,7.777824195430777,1.870980304082841,7.893066099613186
1,5.4,331.27673235332765,592.6124401913876,11.667500635991294,53.39495305164322,14.248816620583586,56.51418565015705,44.24397093199702,79.14690353140402,1.55826385789533,7.131212427598425,1.815483381470366,7.353438193231792
1,5.6,332.65741080894634,594.3959731543624,9.194595522564782,52.184309815651226,11.925538890336647,57.01369638708824,44.42836872239684,79.38510492879631,1.2279927242156714,6.969523848501001,1.495615966783096,7.316599617435782
1,5.8,334.12161882799467,595.4230769230769,6.692521989156247,46.52278367669246,9.236636616828791,53.44478250417995,44.62392238103435,79.52228072428407,0.8938259751794646,6.213393479357927,1.1334857582611122,6.713334149493022
1,6.0,335.2922455468214,595.78125,6.501121895460838,50.5963114754098,9.072627650922499,59.5270404265151,44.7802665171047,79.57011686143572,0.8682633583253229,6.757437258819337,1.1083491961266505,7.406028799485195
1,6.2,336.55808394622284,595.6800000000001,8.590055026383602,52.466148309746124,11.558785799986246,62.728229545989656,44.949326737392035,79.55659432387314,1.1472527581146708,7.007165049715674,1.4163444555654991,7.754890413977098
1,6.4,339.2756518438248,595.9618320610687,11.897837866612448,57.314846084850366,15.064382658802577,66.59280531351692,45.31227403590315,79.59423466591903,1.589026760148571,7.654737373602711,1.8949654032322178,8.328970662337566
1,6.6,342.43094826678885,595.7553956834532,16.64664194919891,69.293269013,19.530766729676486,72.5530931432586,45.73368257319384,79.56666386423416,2.22325768937548,9.254526746310527,2.4927507719484234,9.486563520908573
1,6.8,346.5460691157422,596.1171875,16.986534768562883,85.27609022556403,21.19268002789565,90.17168738508947,46.28328135101732,79.61498330550918,2.268652389791365,11.389127242145435,2.6585449790910824,11.736936763933828
1,7.0,349.46757270496255,596.1,19.08316752940945,102.75151105967069,25.697490464346654,109.8368766299133,46.67346546977797,79.61268781302171,2.5486701207892466,13.723073263395094,3.10599610371014,14.226549733659771
1,7.2,327.7375272369454,596.1491228070175,22.00340015604302,122.55316321105784,31.749128562244582,127.48578286857325,43.771289113448475,79.61924845502739,2.9386844949640056,16.367701263580333,3.7760397125175302,16.716790161074098
1,7.4,358.09697108912275,596.112,16.782992246139766,112.66767085076707,27.303381806764374,115.94590951227697,47.825972766493855,79.61429048414023,2.241468079617998,15.047435172055708,3.2267822961583987,15.279448689581168
1,7.6,359.54004713819995,596.0357142857142,9.971995193017912,82.30357708135483,22.093648604335055,83.67266808750331,48.018704125302165,79.60410207488671,1.3318190574982145,10.992130495005654,2.649020165822762,11.08877158607379
1,7.8,359.8640459002453,595.8092105263158,4.960857160822858,38.24525305032132,19.53995175322547,57.84111716206792,48.06197608016632,79.5738511554345,0.6625518745673306,5.107880207054629,2.329065743702113,6.580612416686233
1,8.0,361.07348538561644,595.8907103825137,5.052846429711273,53.91276041666672,17.266880079886693,67.42652755439734,48.22350389123425,79.58473594424223,0.674837586605846,7.200368670005571,2.0910310234046805,8.199813624068957
1,8.2,362.57175499602675,595.8729281767955,8.456213000586208,74.29784466740983,16.275586920782693,85.98246371885989,48.423606677265674,79.58236102528154,1.1293773623487435,9.922917484795956,1.989650293810285,10.77227752362546
1,8.4,364.93777370059706,595.8612716763006,7.503744843539282,59.18409378960703,12.87868474596733,65.93299610565028,48.73960249757556,79.58080423055767,1.0021695951304574,7.904386482752195,1.556603545115084,8.390349949823658
1,8.6,365.57573229174,593.6164383561644,5.759855476591917,39.380087086707036,10.718029881764004,50.23062740651009,48.82480564831253,79.28099343654951,0.7692628349371542,5.259444018258042,1.2515012867347586,6.17891300699306
