frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,23,23,8,8,6,6,2,2,7,7,0,501.0,498.0,497.0,500.0
1,1,0.2,24,24,8,8,6,6,2,2,8,8,0,501.0,498.0,497.0,500.0
2,2,0.4,25,25,8,8,6,6,2,2,9,9,0,501.0,498.0,497.0,500.0
3,3,0.6,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
4,4,0.8,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
5,5,1.0,23,23,8,8,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
6,6,1.2,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
7,7,1.4,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
8,8,1.6,23,23,8,8,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
9,9,1.8,23,23,8,8,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
10,10,2.0,23,23,8,8,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
11,11,2.2,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
12,12,2.4,24,24,8,8,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
13,13,2.6,23,23,8,8,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
14,14,2.8,22,22,7,7,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
15,15,3.0,22,22,7,7,4,4,2,2,9,9,0,501.0,498.0,497.0,500.0
16,16,3.2,23,23,7,7,5,5,2,2,9,9,0,501.0,498.0,497.0,500.0
17,17,3.4,24,24,8,8,5,5,2,2,9,9,1,501.0,498.0,497.0,500.0
18,18,3.6,22,22,8,8,4,4,2,2,8,8,1,501.0,498.0,497.0,500.0
19,19,3.8,21,21,7,7,4,4,2,2,8,8,1,501.0,498.0,497.0,500.0
20,20,4.0,21,21,7,7,4,4,2,2,8,8,1,501.0,498.0,497.0,500.0
21,21,4.2,21,21,7,7,4,4,2,2,8,8,1,501.0,498.0,497.0,500.0
22,22,4.4,22,22,7,7,4,4,2,2,9,9,2,501.0,498.0,497.0,500.0
23,23,4.6,22,22,7,7,4,4,2,2,9,9,2,501.0,498.0,497.0,500.0
24,24,4.8,22,22,7,7,4,4,2,2,9,9,2,501.0,498.0,497.0,500.0
25,25,5.0,22,22,7,7,4,4,2,2,9,9,2,501.0,498.0,497.0,500.0
26,26,5.2,21,21,8,8,3,3,2,2,8,8,2,501.0,498.0,497.0,500.0
27,27,5.4,21,21,8,8,3,3,2,2,8,8,2,501.0,498.0,497.0,500.0
28,28,5.6,22,22,8,8,3,3,2,2,9,9,2,501.0,498.0,497.0,500.0
29,29,5.8,22,22,8,8,3,3,2,2,9,9,2,501.0,498.0,497.0,500.0
30,30,6.0,22,22,8,8,3,3,2,2,9,9,2,501.0,498.0,497.0,500.0
31,31,6.2,22,22,8,8,3,3,2,2,9,9,2,501.0,498.0,497.0,500.0
32,32,6.4,22,22,8,8,3,3,2,2,9,9,2,501.0,498.0,497.0,500.0
33,33,6.6,21,21,8,8,3,3,2,2,8,8,2,501.0,498.0,497.0,500.0
34,34,6.8,21,21,8,8,3,3,2,2,8,8,2,501.0,498.0,497.0,500.0
35,35,7.0,21,21,8,8,3,3,2,2,8,8,3,501.0,498.0,497.0,500.0
36,36,7.2,20,20,7,7,3,3,2,2,8,8,3,501.0,498.0,497.0,500.0
37,37,7.4,21,21,8,8,3,3,2,2,8,8,3,501.0,498.0,497.0,500.0
38,38,7.6,21,21,8,8,3,3,2,2,8,8,3,501.0,498.0,497.0,500.0
39,39,7.8,21,21,8,8,3,3,2,2,8,8,4,501.0,498.0,497.0,500.0
40,40,8.0,22,22,8,8,4,4,2,2,8,8,4,501.0,498.0,497.0,500.0
41,41,8.2,22,22,8,8,4,4,2,2,8,8,4,501.0,498.0,497.0,500.0
42,42,8.4,22,22,8,8,4,4,2,2,8,8,4,501.0,498.0,497.0,500.0
43,43,8.6,21,21,8,8,3,3,2,2,8,8,4,501.0,498.0,497.0,500.0
44,44,8.8,24,24,8,8,5,5,2,2,9,9,4,501.0,498.0,497.0,500.0
45,45,9.0,23,23,8,8,4,4,2,2,9,9,4,501.0,498.0,497.0,500.0
46,46,9.2,23,23,8,8,4,4,2,2,9,9,4,501.0,498.0,497.0,500.0
47,47,9.4,23,23,8,8,4,4,2,2,9,9,4,501.0,498.0,497.0,500.0
48,48,9.6,23,23,8,8,4,4,2,2,9,9,4,501.0,498.0,497.0,500.0
49,49,9.8,22,22,8,8,4,4,2,2,8,8,4,501.0,498.0,497.0,500.0
