assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s,mean_height_mm,max_height_mm,mean_vertical_velocity_mm_s,max_vertical_velocity_mm_s,mean_speed_mm_s,max_speed_mm_s
1,10,10,2,2,0.2,7.0,352.08417389953104,596.6666666666666,5.466019952113802,122.55316321105784,12.018303830321162,127.48578286857325,9.8,47.02292806671534,79.6883695047301,0.7300193592138631,16.367701263580333,1.4663569310676752,16.716790161074098
2,8,8,1,1,0.125,4.4,486.51700496917493,584.125,-0.3374051298922876,67.21667854597308,13.328112173745838,69.25516855495944,9.8,66.53223999578461,79.88034188034187,-0.04614087246390309,9.192024416543338,1.7636688904223894,9.395365232257673
3,2,2,0,0,0.0,,290.07095616132034,571.9619565217391,-4.32772105983838,12.914110429447879,7.833730352456723,49.12366333157325,9.8,39.87229637956293,78.62020020917376,-0.594875747056822,1.7751354542196391,1.0021914651666533,6.647315329912261
4,10,10,1,1,0.1,3.4,214.765460118846,586.2727272727273,-3.0628220034730003,62.6231546231547,7.608959047214542,106.76207981085578,9.8,29.26956867037083,79.90088276289298,-0.4174203752603749,8.534671839612239,0.9528198676954951,13.290751133732705
