unique_event_id,assay_tube_index,physical_vial_index,display_id,internal_track_id,crossing_frame_index,crossing_time_s,crossing_x_px,crossing_y_px,threshold_distance_px,threshold_distance_mm,deduplicated
1,1,1,4,4,35,7.0,185.512,253.49599999999998,501.0,66.91151919866444,False
2,1,1,9,26,39,7.8,268.3695652173913,263.4710144927536,501.0,66.91151919866444,False
3,2,2,2,10,22,4.4,381.8045977011494,253.5057471264368,498.0,68.1025641025641,False
4,4,4,9,25,17,3.4,824.1363636363636,270.72727272727275,500.0,68.14310051107326,False
