assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s
1,1,1,0,0,0.0,,592.2525252525253,592.7272727272727,-0.39562289562288344,-0.39562289562288344,0.41104362245486176,0.41104362245486176,9.8
2,1,1,0,0,0.0,,11.499956754715122,13.5,0.0873104887487777,3.6171403962100666,4.172159677336313,8.609976896762232,9.8
3,5,5,1,1,0.2,2.4,315.4436068061903,586.8888888888889,20.282913682232866,115.25285640670263,29.097950991686666,116.44741851250564,9.8
