internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed
1,1,1,1,"fly (1,1)",0,1,0.0,0.2,0.2,2,2,False,False,,,,524.0,604.8453389830509,604.8453389830509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,1,"fly (1,2)",0,21,0.0,4.2,4.2,20,20,False,False,,,,524.0,611.4545454545455,607.9725701300877,33.046032357473194,1.9744899927593622,14.849462459728201,2.1825292257697475,138.78151355537148,39.24817034203399,124.1719949513495,37.046644096068995
3,3,1,1,"fly (1,3)",0,17,0.0,3.4,3.4,15,15,False,False,,,,524.0,611.4236111111111,608.7519847861169,15.705801478543155,1.092108224941159,7.852900739271577,0.8447921046279354,168.524013340448,22.335508431580624,57.57821806897379,19.769008664662792
4,4,1,1,"fly (1,4)",0,49,0.0,9.8,9.8,48,48,False,False,,,,524.0,610.9333333333334,610.6477863372024,12.75524907369287,-0.11409149275273675,3.935574638213662,-0.10673356333286065,70.23686146947935,10.185383252895656,48.3163599701995,9.983006704846648
23,5,1,1,"fly (1,5)",14,23,2.8,4.6,1.7999999999999998,10,10,False,False,,,,524.0,611.3563218390805,608.48281281219,14.038936076261722,-0.3478281165357401,7.019468038130861,0.10654985409718272,140.71732936074127,68.62716145920648,94.45495536325775,63.59619681024253
24,6,1,1,"fly (1,6)",15,33,3.0,6.6,3.5999999999999996,17,17,False,False,,,,524.0,608.3542857142857,607.9036881956789,4.228163120363316,0.30957739274292373,2.077774010192191,0.24570707544985665,112.98442354629557,47.148764308373494,70.63206027626427,44.44412577700437
25,7,1,1,"fly (1,7)",21,48,4.2,9.6,5.3999999999999995,20,20,False,False,,,,524.0,604.8505263157895,604.7199982795181,2.680050933786331,0.06984511237087564,0.8847047566977525,0.06547759878152262,14.202611323323097,3.434174158994114,11.096720327880861,3.2821923389853316
27,8,1,1,"fly (1,8)",33,47,6.6,9.4,2.8000000000000007,15,15,False,False,,,,524.0,608.4150453955901,607.8549492231408,2.5930282292557627,-0.08407959414296963,1.2965141146278814,-0.007430428747800658,105.01669712785615,39.60513752316416,59.45833130645375,36.82621908094164
28,9,1,1,"fly (1,9)",35,35,7.0,7.0,0.0,1,1,False,False,,,,524.0,607.8807947019868,607.8807947019868,,,0.0,0.0,,,0.0,0.0
29,10,1,1,"fly (1,10)",44,49,8.8,9.8,1.0,4,4,False,False,,,,524.0,611.5121951219512,608.9335780579618,5.472132432167696,-3.795409599501237,2.736066216083848,-3.440918526392076,120.96738770077229,65.74541120320505,92.10785162104193,52.25654184102845
5,1,2,2,"fly (2,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,524.0,604.996282527881,604.7825425380609,2.861039453849796,0.057977977412195354,1.4020173158684202,0.0741966200849563,18.54102146968149,5.618923373975489,10.398068363867134,5.623975540642359
6,2,2,2,"fly (2,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,524.0,605.1829787234043,604.876387021322,1.4653523326177316,-0.0011092786995472584,0.45511468915738806,0.009864825231686268,11.930707381520907,1.558901881007198,10.775875756779952,1.536277964953668
7,3,2,2,"fly (2,3)",0,49,0.0,9.8,9.8,50,50,False,False,,,,524.0,608.749354005168,608.6597302307191,0.5792467235903608,0.007329872694902738,0.18727053140101657,0.01057746174640033,6.88782233968148,2.458113839540721,4.285894402008021,2.4231055659740908
8,4,2,2,"fly (2,4)",0,49,0.0,9.8,9.8,50,50,False,False,,,,524.0,609.5399361022364,609.4327178819235,0.8175001292858053,0.010471301117996747,0.3089572948249501,0.012331219724601904,12.764625722287517,1.7935496843460585,11.261536887155637,1.7695384265308898
9,1,3,3,"fly (3,1)",0,41,0.0,8.2,8.2,31,31,False,False,,,,519.0,119.23076923076928,47.73062938011288,127.24549730766856,0.691323305063558,104.8995517057974,-0.06922604546727917,141.44227853073187,66.01330147590252,125.73956219457698,64.45164202266106
10,2,3,3,"fly (3,2)",0,37,0.0,7.4,7.4,35,35,True,True,1.0,37.0,7.4,519.0,598.5044843049327,297.62436267980974,363.6244920123314,60.54944174068226,189.820865582612,57.00424152422063,383.4945485071216,70.58308397039653,200.35383084568195,67.09166443929355
11,3,3,3,"fly (3,3)",0,47,0.0,9.4,9.4,43,43,False,False,,,,519.0,281.8871794871795,132.5041743559166,2.025568181817901,-30.363574310940162,-0.26881720430102,-29.77634812059261,139.40728338925558,41.51136156430749,107.4308392098751,40.68891485531436
12,4,3,3,"fly (3,4)",0,49,0.0,9.8,9.8,47,47,True,True,3.0,41.0,8.2,519.0,602.8228571428572,376.7181187092803,569.9142857142865,18.467983405707056,216.43663003663042,18.510367576616414,573.6609892717524,41.85196686102966,224.13467158217728,41.42013930427662
13,5,3,3,"fly (3,5)",0,5,0.0,1.0,1.0,2,2,False,False,,,,519.0,364.2307692307692,235.98380566801617,-256.4939271255061,-256.4939271255061,-128.24696356275305,-128.24696356275305,256.49392741307474,256.49392741307474,128.24696370653737,128.24696370653737
14,6,3,3,"fly (3,6)",0,49,0.0,9.8,9.8,46,46,False,False,,,,519.0,599.3343465045593,598.9266406227916,12.251235432467,0.029763114028240906,3.291729564798342,0.032037496627467854,70.53106779529482,3.8240288658214334,35.26553389764741,3.9942627591672024
15,7,3,3,"fly (3,7)",0,49,0.0,9.8,9.8,34,34,False,False,,,,519.0,601.0598958333334,598.4827776331988,12.347733990926603,-1.5403010107884667,3.716835722942292,-1.7517635511802971,97.10304610309593,27.584230906968806,68.14108767408011,27.100061942960814
16,8,3,3,"fly (3,8)",0,49,0.0,9.8,9.8,49,49,False,False,,,,519.0,602.7666666666667,601.7872331467885,14.519748980384628,-0.053721680107470915,7.827985424139264,-0.08092121230467704,104.11559985776661,10.879240445331485,53.52757335147663,10.639346642040437
19,9,3,3,"fly (3,9)",9,49,1.8,9.8,8.0,40,40,False,False,,,,519.0,447.40697674418607,264.47570406574954,111.98507462686554,55.27904130965124,92.21107425833797,54.08002074790122,111.99031281922318,58.873301051394776,92.253801138503,57.54664116787848
20,10,3,3,"fly (3,10)",9,45,1.8,9.0,7.2,35,35,True,True,2.0,38.0,7.6,519.0,598.8568129330254,432.672496139359,197.98854321907567,57.18620146302294,111.76310753922688,55.89014865397645,199.20254382302042,61.74255689734838,112.84394312865648,60.22938192703709
17,1,4,4,"fly (4,1)",0,49,0.0,9.8,9.8,49,49,False,False,,,,522.0,604.0698924731182,602.858893007312,11.10174129189203,-0.1929240889925767,3.9370622439539193,-0.18963139972330564,117.0886253561303,8.87763556827892,46.57086684724695,8.698830297866609
18,2,4,4,"fly (4,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,522.0,604.1044776119403,604.0502070973108,0.22388059701484034,-0.0019116796839598505,0.10871195081714775,-0.0026603288227572443,2.132255585512117,0.722700517567762,1.437502971419043,0.716429522920219
21,3,4,4,"fly (4,3)",9,11,1.8,2.2,0.40000000000000013,2,2,False,False,,,,522.0,606.3181818181818,603.3967146714672,14.60733573357316,14.60733573357316,7.30366786678658,7.30366786678658,182.77747882516408,182.77747882516408,91.38873941258204,91.38873941258204
22,4,4,4,"fly (4,4)",12,12,2.4,2.4,0.0,1,1,False,False,,,,522.0,601.3576923076923,601.3576923076923,,,0.0,0.0,,,0.0,0.0
26,5,4,4,"fly (4,5)",29,49,5.8,9.8,4.000000000000001,18,18,False,False,,,,522.0,603.4335511982571,601.1050415001918,11.444864425020041,0.14620931813031934,4.757673049726741,0.14410943101329565,64.93302268542404,11.476480323166653,41.473522178982414,10.825631290614075
