frame_index,time_s,x_px,y_px,bbox_x,bbox_y,bbox_w,bbox_h,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,detected,internal_track_id,display_id,physical_vial_index,assay_tube_index,label,dt_s,dx_px,dy_px,displacement_px,speed_px_s_raw,vertical_velocity_px_s_raw,height_px_smoothed,speed_px_s_smoothed,vertical_velocity_px_s_smoothed,height_mm_smoothed,vertical_velocity_mm_s_raw,vertical_velocity_mm_s_smoothed,displacement_mm,speed_mm_s_raw,speed_mm_s_smoothed
0,0.0,244.15544041450778,173.78497409326425,222,168,48,13,117.15544041450778,,607.2150259067357,,607.2150259067357,,0.5946976670787197,0.9889495535940321,True,1,1,1,1,"fly (1,1)",,,,,,,607.2143731116792,0.500748877150757,-0.003263975282550291,,,,,,
1,0.2,243.95514511873353,173.7862796833773,223,168,46,13,116.95514511873353,,607.2137203166227,,607.2137203166227,,0.5936809396890027,0.9889474272257699,True,1,1,1,1,"fly (1,1)",0.2,-0.20029529577425365,0.0013055901130485381,0.20029955086030282,1.001497754301514,-0.006527950565100582,607.2179824319148,0.9048899368430366,0.016958609417277632,,,,,,
2,0.4,244.2975871313673,173.77479892761394,223,168,46,13,117.2975871313673,,607.2252010723861,,607.2252010723861,,0.5954192240170929,0.9889661255250588,True,1,1,1,1,"fly (1,1)",0.2,0.34244201263376794,-0.011480755763358275,0.3426344112455192,1.7131720562275958,0.05740377881693348,607.2369054202678,1.264064758390129,0.09461494176529567,,,,,,
3,0.6,244.08717948717947,173.72820512820513,222,168,48,13,117.08717948717947,,607.2717948717949,,607.2717948717949,,0.5943511649095404,0.9890420111918483,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-0.21040764418782487,-0.04659379940881081,0.2155048929282554,1.0775244646412772,0.2329689970440541,607.2837755509476,2.1835808634315037,0.2343506533979204,,,,,,
4,0.8,244.83464566929132,173.64566929133858,223,168,48,13,117.83464566929132,,607.3543307086615,,607.3543307086615,,0.5981454094887885,0.9891764343789274,True,1,1,1,1,"fly (1,1)",0.20000000000000007,0.7474661821118502,-0.08253583686655475,0.752009213885128,3.7600460694256386,0.4126791843327736,607.3346725371016,1.745600759045405,0.2544849307704074,,,,,,
5,1.0,244.75835475578407,173.62210796915167,223,168,48,13,117.75835475578407,,607.3778920308483,,607.3778920308483,,0.597758145968447,0.9892148078678311,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-0.07629091350725048,-0.02356132218690732,0.07984634861385977,0.3992317430692989,0.11780661093439451,607.369522275177,1.945983994549733,0.17424869037768076,,,,,,
6,1.2,245.09408602150538,173.6236559139785,224,168,46,13,118.09408602150538,,607.3763440860215,,607.3763440860215,,0.5994623655913979,0.9892122867850514,True,1,1,1,1,"fly (1,1)",0.19999999999999996,0.3357312657213072,0.0015479448268251872,0.33573483423085226,1.6786741711542617,-0.007739724134125938,607.3477462248048,2.1313384985248804,-0.10888025186109951,,,,,,
7,1.4,244.23529411764707,173.71099744245524,222,168,48,13,117.23529411764707,,607.2890025575448,,607.2890025575448,,0.5951030158256196,0.9890700367386723,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-0.8587919038583038,0.08734152847674181,0.8632219162702159,4.316109581351081,-0.4367076423835671,607.3212586543127,2.766823457263687,-0.1324378524609908,,,,,,
8,1.6,244.69633507853405,173.70157068062827,223,168,47,13,117.69633507853405,,607.2984293193717,,607.2984293193717,,0.5974433252717465,0.9890853897709637,True,1,1,1,1,"fly (1,1)",0.20000000000000018,0.4610409608869759,-0.009426761826972552,0.461137323857144,2.305686619285718,0.04713380913472061,607.3127851199221,2.309640838312363,-0.04236767195322958,,,,,,
9,1.8,244.7282321899736,173.6490765171504,223,168,48,13,117.7282321899736,,607.3509234828496,,607.3509234828496,,0.5976052395430131,0.9891708851512208,True,1,1,1,1,"fly (1,1)",0.19999999999999996,0.0318971114395481,-0.052494163477859956,0.06142526286005813,0.3071263143002907,0.26247081738915773,607.2976027665345,1.1504581223394883,-0.07591176693760344,,,,,,
