internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed
1,1,1,1,"fly (1,1)",0,39,0.0,7.8,7.8,39,39,True,True,4.0,39.0,7.8,305.0,603.0,28.72762143751057,970.9090909090922,52.89675854168072,835.4545454545458,50.442436736450816,970.9728474981464,62.27977161763247,835.5667716693754,59.58913870741218
2,2,1,1,"fly (1,2)",0,25,0.0,5.0,5.0,21,21,False,False,,,,305.0,379.8,168.15868042884918,783.1666666666656,55.147025670931114,561.4736842105258,48.94984730888611,783.4114721665879,67.63539301922187,561.6198214998298,60.9463899912179
3,3,1,1,"fly (1,3)",0,49,0.0,9.8,9.8,38,38,False,False,,,,305.0,248.23076923076928,118.95636377363574,344.0624999999997,-34.48989102114109,195.68291083916083,-34.55176041778595,449.0401152239628,107.33429501805573,317.96898772039236,106.2118241786078
4,4,1,1,"fly (1,4)",0,6,0.0,1.2,1.2,5,5,True,True,1.0,4.0,0.8,305.0,541.2,318.61127799736494,588.2083333333335,196.44602272727278,360.1079545454546,144.08780742204658,588.4169336849699,196.5146252367968,360.2213949953125,144.13733466410108
5,5,1,1,"fly (1,5)",0,49,0.0,9.8,9.8,30,30,False,False,,,,305.0,609.0909090909091,388.3985218213502,409.8484848484848,-38.97785021734266,204.9242424242424,-35.4630205275801,468.5317495418336,70.28491808048169,421.453845233888,70.28056867081631
17,6,1,1,"fly (1,6)",1,12,0.2,2.4,2.1999999999999997,6,6,True,True,2.0,12.0,2.4,305.0,417.27272727272725,139.6876807288572,357.2156862745097,158.7656862745098,313.04300356506235,131.2616524724368,357.29095188424066,212.65900447364046,313.1210215997287,183.1668866164488
18,7,1,1,"fly (1,7)",1,49,0.2,9.8,9.600000000000001,35,35,False,False,,,,305.0,268.7391304347826,138.0189751826727,484.58333333333115,18.01765349094321,365.6746031746033,18.444491143194625,484.69527941675557,121.98288502926177,366.0458543428521,119.44016432192007
19,8,1,1,"fly (1,8)",1,13,0.2,2.6,2.4,8,8,False,False,,,,305.0,249.73333333333335,162.3801541614585,297.75384615384615,33.39703383036717,195.95431235431238,33.92167562375896,297.78478269504257,135.3094582280819,195.99184698624254,113.80197419323619
20,9,1,1,"fly (1,9)",1,24,0.2,4.8,4.6,12,12,True,True,3.0,24.0,4.8,305.0,383.7857142857143,191.66309523809525,669.6103896103889,84.5990095762822,427.13474025974006,70.81365740740733,669.8103033465655,174.08289659965766,427.24246317685447,152.8379929894164
21,10,1,1,"fly (1,10)",1,14,0.2,2.8,2.5999999999999996,10,10,False,False,,,,305.0,295.72727272727275,146.02936699948285,472.3447204968939,53.94510995826786,470.92532467532476,48.58720613797486,472.56211205635867,212.857346907288,471.0817321439299,191.63185414557518
