assay_tube_index,number_of_flies_detected,flies_detected,number_of_unique_threshold_crossings,unique_threshold_crossings,fraction_crossing_by_10s,first_crossing_time_s,mean_height_px,max_height_px,mean_vertical_velocity_px_s,max_vertical_velocity_px_s,mean_speed_px_s,max_speed_px_s,processed_duration_s
1,10,10,4,4,0.4,0.8,162.4762041911988,609.0909090909091,21.465293194707325,835.4545454545458,100.04510281116312,835.5667716693754,9.8
2,2,2,0,0,0.0,,89.1286669592591,141.72727272727275,10.419830346310624,173.65151515151524,41.95750433845164,173.67795326659163,9.8
3,10,10,1,1,0.1,5.0,166.98305619014306,401.4308510638298,17.167630971139985,76.26653273062142,24.822494325819854,99.21230810841739,9.8
4,10,10,0,0,0.0,,89.3382712220774,260.6923076923076,2.1790634988998754,104.48923016311986,24.529554503593115,129.39824740162712,9.8
