physical_vial_index,assay_tube_index,bbox_x,bbox_y,bbox_w,bbox_h,center_x_px,center_y_px,area_px,frame_index,time_s,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,threshold_used
1,1,148,424,2,6,148.45454545454547,426.27272727272725,11,0,0.0,10.454545454545467,,362.72727272727275,,362.72727272727275,,0.05201266395296252,0.5936616574914447,8.64
1,1,149,543,4,15,150.390243902439,549.0,41,0,0.0,12.39024390243901,,240.0,,240.0,,0.06164300448974632,0.39279869067103107,8.64
1,1,150,591,4,10,151.23333333333332,595.4,30,0,0.0,13.23333333333332,,193.60000000000002,,193.60000000000002,,0.06583747927031502,0.3168576104746318,8.64
1,1,151,624,4,18,152.24137931034483,632.8275862068965,58,0,0.0,14.241379310344826,,156.1724137931035,,156.1724137931035,,0.07085263338480013,0.25560133190360634,8.64
1,1,153,772,8,18,155.88732394366198,782.1971830985915,71,0,0.0,17.887323943661983,,6.802816901408505,,6.802816901408505,,0.08899166141125364,0.011133906548950091,8.64
2,2,376,704,3,7,376.6666666666667,706.7333333333333,15,0,0.0,5.666666666666686,,72.26666666666665,,72.26666666666665,,0.029982363315696748,0.12125279642058163,12.0
2,2,376,712,3,5,376.84615384615387,714.0,13,0,0.0,5.846153846153868,,65.0,,65.0,,0.03093203093203105,0.10906040268456375,12.0
3,3,629,557,14,26,635.6037037037037,569.0666666666666,270,0,0.0,49.60370370370367,,203.9333333333334,,203.9333333333334,,0.2755761316872426,0.34102564102564115,18.0
3,3,607,768,12,6,612.1355932203389,770.8135593220339,59,0,0.0,26.135593220338933,,2.1864406779660612,,2.1864406779660612,,0.14519774011299408,0.003656255314324517,18.0
4,4,977,617,2,8,977.4666666666667,620.2666666666667,15,0,0.0,181.4666666666667,,158.73333333333335,,158.73333333333335,,0.8809061488673141,0.26499721758486366,12.0
4,4,977,647,3,39,977.752688172043,667.8387096774193,93,0,0.0,181.752688172043,,111.16129032258073,,111.16129032258073,,0.8822946027769079,0.18557811406106967,12.0
4,4,977,687,5,23,978.6363636363636,697.7840909090909,88,0,0.0,182.63636363636363,,81.21590909090912,,81.21590909090912,,0.8865842894969108,0.13558582485961457,12.0
4,4,979,719,4,15,980.1875,726.0625,48,0,0.0,184.1875,,52.9375,,52.9375,,0.8941140776699029,0.08837646076794657,12.0
4,4,979,737,4,5,980.2307692307693,738.5384615384615,13,0,0.0,184.23076923076928,,40.46153846153845,,40.46153846153845,,0.8943241224794626,0.06754847823295235,12.0
4,4,980,744,4,6,981.2142857142858,746.1428571428571,14,0,0.0,185.21428571428578,,32.85714285714289,,32.85714285714289,,0.899098474341193,0.054853326973527364,12.0
